PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Aaron Brooks,CHI,31,69,31,8.1%,14,38,36.8,53.9,1.7%,1,8,12.5,6.4%,13,30,43.3
Aaron Gordon,ORL,20,77,57,21.8%,43,126,34.1,46,5.2%,13,30,43.3,16.6%,30,96,31.3
Aaron Harrison,CHA,21,21,5,36.8%,1,7,14.3,21.4,5.3%,0,1,0,31.6%,1,6,16.7
Adreian Payne,MIN,25,52,16,14.6%,8,21,38.1,45.2,6.9%,5,10,50,7.6%,3,11,27.3
Al Horford,ATL,30,82,81,38.1%,168,399,42.1,51.9,17.0%,90,178,50.6,21.1%,78,221,35.3
Al Jefferson,CHA,31,47,24,5.9%,18,30,60,60,5.9%,18,30,60,0.0%,0,0,-
Al-Farouq Aminu,POR,25,82,73,34.0%,85,244,34.8,48.4,5.3%,19,38,50,28.7%,66,206,32
Alan Anderson,WAS,33,13,3,6.8%,2,4,50,62.5,1.7%,1,1,100,5.1%,1,3,33.3
Alan Williams,PHX,23,10,1,4.2%,0,1,0,0,4.2%,0,1,0,0.0%,0,0,-
Alec Burks,UTA,24,31,26,17.4%,29,58,50,66.4,5.1%,10,17,58.8,12.3%,19,41,46.3
Alex Len,PHX,23,78,54,16.0%,40,99,40.4,40.9,15.3%,39,95,41.1,0.6%,1,4,25
Alexis Ajinca,NOP,28,59,36,20.7%,33,65,50.8,50.8,20.7%,33,65,50.8,0.0%,0,0,-
Allen Crabbe,POR,24,81,69,24.8%,84,167,50.3,67.7,6.7%,26,45,57.8,18.1%,58,122,47.5
Alonzo Gee,NOP,29,73,39,25.6%,31,65,47.7,56.2,11.4%,20,29,69,14.2%,11,36,30.6
Amar'e Stoudemire,MIA,33,52,18,9.5%,12,21,57.1,57.1,9.5%,12,21,57.1,0.0%,0,0,-
Amir Johnson,BOS,29,78,31,10.2%,21,43,48.8,54.7,4.7%,16,20,80,5.5%,5,23,21.7
Anderson Varejao,GSW,33,53,23,29.0%,17,36,47.2,47.2,28.2%,17,35,48.6,0.8%,0,1,0
Andre Drummond,DET,22,81,25,2.7%,20,28,71.4,71.4,2.5%,20,26,76.9,0.2%,0,2,0
Andre Iguodala,GSW,32,65,44,22.2%,45,81,55.6,72.2,6.6%,18,24,75,15.6%,27,57,47.4
Andre Miller,SAS,40,39,13,14.2%,9,15,60,63.3,9.4%,8,10,80,4.7%,1,5,20
Andre Roberson,OKC,24,70,51,36.6%,42,100,42,55.5,5.9%,15,16,93.8,30.8%,27,84,32.1
Andrea Bargnani,BKN,30,46,38,30.0%,40,83,48.2,49.4,27.4%,38,76,50,2.5%,2,7,28.6
Andrew Bogut,GSW,31,70,20,8.3%,16,23,69.6,69.6,8.3%,16,23,69.6,0.0%,0,0,-
Andrew Goudelock,HOU,27,8,5,30.0%,0,6,0,0,0.0%,0,0,-,30.0%,0,6,0
Andrew Nicholson,ORL,26,55,40,31.9%,41,98,41.8,59.7,3.3%,6,10,60,28.7%,35,88,39.8
Andrew Wiggins,MIN,21,81,70,10.6%,66,137,48.2,58,4.6%,39,60,65,6.0%,27,77,35.1
Anthony Bennett,TOR,23,19,7,38.5%,2,10,20,30,0.0%,0,0,-,38.5%,2,10,20
Anthony Brown,LAL,23,29,21,25.6%,12,32,37.5,48.4,8.8%,5,11,45.5,16.8%,7,21,33.3
Anthony Davis,NOP,23,61,54,13.3%,81,151,53.6,60.9,8.5%,59,96,61.5,4.8%,22,55,40
Anthony Morrow,OKC,30,68,45,24.3%,35,81,43.2,59.9,3.3%,8,11,72.7,21.0%,27,70,38.6
Anthony Tolliver,DET,31,72,56,39.0%,55,129,42.6,62.4,2.7%,4,9,44.4,36.3%,51,120,42.5
Archie Goodwin,PHX,21,57,30,12.1%,18,51,35.3,41.2,4.3%,12,18,66.7,7.9%,6,33,18.2
Aron Baynes,DET,29,81,40,14.7%,24,56,42.9,42.9,14.4%,24,55,43.6,0.3%,0,1,0
Arron Afflalo,NYK,30,71,44,10.4%,44,83,53,65.7,4.1%,23,33,69.7,6.3%,21,50,42
Austin Rivers,LAC,23,67,49,17.2%,39,89,43.8,59.6,4.5%,11,23,47.8,12.8%,28,66,42.4
Avery Bradley,BOS,25,75,70,18.7%,83,188,44.1,57.7,6.2%,32,62,51.6,12.6%,51,126,40.5
Axel Toupane,DEN,23,21,12,30.0%,14,21,66.7,95.2,4.3%,2,3,66.7,25.7%,12,18,66.7
Ben McLemore,SAC,23,67,51,26.7%,52,120,43.3,58.8,6.2%,15,28,53.6,20.5%,37,92,40.2
Beno Udrih,MEM,33,44,27,22.8%,14,45,31.1,37.8,10.2%,8,20,40,12.7%,6,25,24
Bismack Biyombo,TOR,23,81,14,5.7%,8,16,50,50,5.7%,8,16,50,0.0%,0,0,-
Blake Griffin,LAC,27,35,34,29.5%,86,178,48.3,49.4,27.9%,82,168,48.8,1.7%,4,10,40
Boban Marjanovic,SAS,27,54,7,4.0%,5,7,71.4,71.4,4.0%,5,7,71.4,0.0%,0,0,-
Bobby Portis,CHI,21,62,45,22.1%,38,96,39.6,46.4,14.5%,25,63,39.7,7.6%,13,33,39.4
Bojan Bogdanovic,BKN,27,79,68,22.7%,76,169,45,63.6,3.4%,13,25,52,19.3%,63,144,43.8
Boris Diaw,SAS,34,76,47,22.2%,37,85,43.5,56.5,7.6%,15,29,51.7,14.6%,22,56,39.3
Bradley Beal,WAS,23,55,54,22.2%,76,177,42.9,57.3,7.3%,25,58,43.1,14.9%,51,119,42.9
Brandan Wright,MEM,28,12,2,3.8%,2,2,100,100,3.8%,2,2,100,0.0%,0,0,-
Brandon Bass,LAL,31,66,13,5.0%,7,16,43.8,43.8,5.0%,7,16,43.8,0.0%,0,0,-
Brandon Jennings,ORL,26,48,33,20.5%,29,62,46.8,58.1,7.3%,15,22,68.2,13.2%,14,40,35
Brandon Knight,PHX,24,52,45,19.0%,70,170,41.2,54.4,5.5%,25,49,51,13.5%,45,121,37.2
Brandon Rush,GSW,30,72,59,51.5%,62,134,46.3,65.7,5.8%,10,15,66.7,45.8%,52,119,43.7
Brian Roberts,POR,30,51,23,17.7%,14,29,48.3,56.9,9.1%,9,15,60,8.5%,5,14,35.7
Briante Weber,MIA,23,7,5,28.2%,3,11,27.3,27.3,17.9%,3,7,42.9,10.3%,0,4,0
Brook Lopez,BKN,28,73,59,12.6%,65,145,44.8,45.2,11.9%,64,137,46.7,0.7%,1,8,12.5
Bruno Caboclo,TOR,20,6,1,16.7%,0,2,0,0,0.0%,0,0,-,16.7%,0,2,0
Bryce Cotton,MEM,23,8,2,37.5%,0,3,0,0,12.5%,0,1,0,25.0%,0,2,0
Bryce Dejean-Jones,NOP,23,14,8,17.4%,3,12,25,33.3,2.9%,1,2,50,14.5%,2,10,20
CJ McCollum,POR,24,80,76,14.4%,114,206,55.3,73.3,5.0%,40,72,55.6,9.4%,74,134,55.2
CJ Miles,IND,29,64,51,20.6%,47,130,36.2,52.7,1.1%,4,7,57.1,19.5%,43,123,35
CJ Watson,ORL,32,33,20,19.7%,10,27,37,46.3,7.3%,5,10,50,12.4%,5,17,29.4
CJ Wilcox,LAC,25,23,6,15.2%,4,10,40,50,7.6%,2,5,40,7.6%,2,5,40
Cameron Bairstow,DET,25,18,8,30.0%,5,12,41.7,45.8,22.5%,4,9,44.4,7.5%,1,3,33.3
Cameron Payne,OKC,21,57,33,21.7%,27,60,45,60,5.4%,9,15,60,16.2%,18,45,40
Carl Landry,PHI,32,36,27,20.5%,27,51,52.9,56.9,16.1%,23,40,57.5,4.4%,4,11,36.4
Carmelo Anthony,NYK,32,72,53,7.7%,50,101,49.5,62.9,3.2%,23,42,54.8,4.5%,27,59,45.8
Caron Butler,SAC,36,16,8,20.3%,4,12,33.3,33.3,10.2%,4,6,66.7,10.2%,0,6,0
Chandler Parsons,DAL,27,61,49,13.3%,43,86,50,65.7,4.6%,16,30,53.3,8.6%,27,56,48.2
Channing Frye,CLE,33,69,57,37.5%,57,129,44.2,64,3.8%,6,13,46.2,33.7%,51,116,44
Charlie Villanueva,DAL,31,62,43,29.3%,27,96,28.1,39.1,2.7%,6,9,66.7,26.5%,21,87,24.1
Chase Budinger,PHX,28,66,29,15.5%,19,37,51.4,62.2,6.3%,11,15,73.3,9.2%,8,22,36.4
Chris Andersen,MEM,37,27,12,23.6%,6,17,35.3,44.1,6.9%,3,5,60,16.7%,3,12,25
Chris Bosh,MIA,32,53,50,22.3%,79,171,46.2,59.1,8.6%,35,66,53,13.7%,44,105,41.9
Chris Copeland,MIL,32,24,9,27.5%,6,14,42.9,64.3,0.0%,0,0,-,27.5%,6,14,42.9
Chris Johnson,UTA,26,70,37,29.0%,19,56,33.9,45.5,4.7%,6,9,66.7,24.4%,13,47,27.7
Chris Kaman,POR,34,16,4,9.3%,2,4,50,50,7.0%,2,3,66.7,2.3%,0,1,0
Chris McCullough,BKN,21,24,15,28.4%,13,31,41.9,53.2,10.1%,6,11,54.5,18.3%,7,20,35
Chris Paul,LAC,31,74,69,17.9%,94,199,47.2,57,9.2%,55,102,53.9,8.7%,39,97,40.2
Christian Wood,PHI,20,17,8,26.4%,5,14,35.7,46.4,7.5%,2,4,50,18.9%,3,10,30
Cleanthony Early,NYK,25,17,7,30.0%,2,12,16.7,20.8,10.0%,1,4,25,20.0%,1,8,12.5
Cliff Alexander,POR,20,8,2,20.0%,1,2,50,50,20.0%,1,2,50,0.0%,0,0,-
Clint Capela,HOU,22,77,7,2.0%,8,8,100,100,2.0%,8,8,100,0.0%,0,0,-
Cody Zeller,CHA,23,73,43,14.6%,17,64,26.6,27.3,12.8%,16,56,28.6,1.8%,1,8,12.5
Cole Aldrich,LAC,27,60,7,3.1%,6,7,85.7,85.7,3.1%,6,7,85.7,0.0%,0,0,-
Corey Brewer,HOU,30,82,64,25.1%,47,138,34.1,46.4,3.6%,13,20,65,21.5%,34,118,28.8
Cory Jefferson,PHX,25,8,1,4.5%,0,1,0,0,0.0%,0,0,-,4.5%,0,1,0
Cory Joseph,TOR,24,79,48,12.0%,24,69,34.8,39.1,5.6%,18,32,56.3,6.5%,6,37,16.2
Coty Clarke,BOS,23,3,2,50.0%,1,2,50,75,25.0%,0,1,0,25.0%,1,1,100
Courtney Lee,CHA,30,79,64,22.7%,64,145,44.1,55.9,8.3%,30,53,56.6,14.4%,34,92,37
Cristiano Felicio,CHI,23,31,12,26.4%,9,19,47.4,47.4,22.2%,9,16,56.3,4.2%,0,3,0
D'Angelo Russell,LAL,20,80,65,15.5%,65,148,43.9,59.1,4.0%,20,38,52.6,11.5%,45,110,40.9
D.J. Augustin,DEN,28,62,40,18.6%,27,65,41.5,60,3.1%,3,11,27.3,15.4%,24,54,44.4
Dahntay Jones,CLE,35,1,1,7.1%,0,1,0,0,0.0%,0,0,-,7.1%,0,1,0
Damian Lillard,POR,25,75,64,10.7%,76,157,48.4,65.9,3.0%,21,44,47.7,7.7%,55,113,48.7
Damien Inglis,MIL,21,20,6,24.3%,3,9,33.3,38.9,10.8%,2,4,50,13.5%,1,5,20
Damjan Rudez,MIN,30,33,10,25.8%,6,16,37.5,56.3,0.0%,0,0,-,25.8%,6,16,37.5
Danilo Gallinari,DEN,27,53,38,11.9%,32,83,38.6,52.4,2.9%,9,20,45,9.0%,23,63,36.5
Danny Green,SAS,29,79,72,34.3%,74,192,38.5,54.7,3.4%,12,19,63.2,30.9%,62,173,35.8
Dante Cunningham,NOP,29,80,64,35.9%,65,148,43.9,56.4,11.9%,28,49,57.1,24.0%,37,99,37.4
Darrell Arthur,DEN,28,70,60,28.9%,60,141,42.6,52.8,14.1%,31,69,44.9,14.8%,29,72,40.3
Darren Collison,SAC,28,73,65,21.3%,89,163,54.6,67.2,9.6%,48,74,64.9,11.6%,41,89,46.1
Darrun Hilliard,DET,23,38,16,18.3%,11,24,45.8,64.6,3.8%,2,5,40,14.5%,9,19,47.4
David Lee,DAL,33,54,12,3.9%,7,13,53.8,53.8,3.9%,7,13,53.8,0.0%,0,0,-
David West,SAS,35,78,60,26.6%,62,119,52.1,52.5,26.2%,61,117,52.1,0.4%,1,2,50
DeAndre Jordan,LAC,27,77,32,9.1%,41,46,89.1,89.1,9.1%,41,46,89.1,0.0%,0,0,-
DeJuan Blair,WAS,27,29,6,8.8%,2,6,33.3,33.3,7.4%,2,5,40,1.5%,0,1,0
DeMar DeRozan,TOR,26,77,53,6.5%,40,88,45.5,52.8,4.1%,27,56,48.2,2.4%,13,32,40.6
DeMarcus Cousins,SAC,25,64,64,19.5%,97,256,37.9,46.9,9.1%,51,119,42.9,10.5%,46,137,33.6
DeMarre Carroll,TOR,29,26,23,16.3%,24,44,54.5,76.1,2.6%,5,7,71.4,13.7%,19,37,51.4
Delon Wright,TOR,24,27,8,12.5%,3,10,30,45,3.8%,0,3,0,8.8%,3,7,42.9
Dennis Schroder,ATL,22,80,64,19.3%,53,150,35.3,46.3,4.9%,20,38,52.6,14.4%,33,112,29.5
Deron Williams,DAL,32,65,53,16.8%,56,130,43.1,56.2,6.0%,22,46,47.8,10.9%,34,84,40.5
Derrick Favors,UTA,24,62,55,12.3%,36,100,36,36,12.3%,36,100,36,0.0%,0,0,-
Derrick Rose,CHI,27,66,31,5.2%,25,54,46.3,57.4,2.5%,13,26,50,2.7%,12,28,42.9
Derrick Williams,NYK,25,80,47,17.2%,32,97,33,43.3,5.7%,12,32,37.5,11.5%,20,65,30.8
Devin Booker,PHX,19,76,58,15.5%,60,134,44.8,59.3,4.5%,21,39,53.8,11.0%,39,95,41.1
Devin Harris,DAL,33,64,45,21.8%,36,81,44.4,59.9,4.0%,11,15,73.3,17.7%,25,66,37.9
Devyn Marble,ORL,23,28,10,18.3%,3,13,23.1,30.8,5.6%,1,4,25,12.7%,2,9,22.2
Dewayne Dedmon,ORL,26,58,15,11.3%,11,20,55,55,11.3%,11,20,55,0.0%,0,0,-
Dion Waiters,OKC,24,78,62,18.0%,45,127,35.4,47.6,5.1%,14,36,38.9,12.9%,31,91,34.1
Dirk Nowitzki,DAL,38,75,69,18.8%,99,209,47.4,62,6.0%,38,67,56.7,12.8%,61,142,43
Donald Sloan,BKN,28,61,28,11.2%,20,39,51.3,64.1,4.3%,10,15,66.7,6.9%,10,24,41.7
Donatas Motiejunas,HOU,25,37,28,23.0%,18,47,38.3,52.1,3.4%,5,7,71.4,19.6%,13,40,32.5
Doug McDermott,CHI,24,81,62,18.6%,52,119,43.7,60.5,4.1%,12,26,46.2,14.5%,40,93,43
Draymond Green,GSW,26,81,74,22.1%,79,180,43.9,60.3,3.8%,20,31,64.5,18.3%,59,149,39.6
Drew Gooden,WAS,34,30,15,30.1%,8,31,25.8,30.6,8.7%,5,9,55.6,21.4%,3,22,13.6
Duje Dukan,SAC,24,1,1,30.0%,1,3,33.3,50,10.0%,0,1,0,20.0%,1,2,50
Dwight Howard,HOU,30,71,22,4.3%,16,26,61.5,61.5,3.5%,16,21,76.2,0.8%,0,5,0
Dwight Powell,DAL,24,69,37,22.3%,25,66,37.9,39.4,19.3%,23,57,40.4,3.0%,2,9,22.2
Dwyane Wade,MIA,34,74,39,5.1%,32,60,53.3,56.7,4.3%,28,51,54.9,0.8%,4,9,44.4
E'Twaun Moore,CHI,27,59,39,16.5%,35,64,54.7,71.1,6.4%,14,25,56,10.0%,21,39,53.8
Ed Davis,POR,27,81,2,0.6%,0,2,0,0,0.6%,0,2,0,0.0%,0,0,-
Edy Tavares,ATL,24,11,1,5.3%,0,1,0,0,5.3%,0,1,0,0.0%,0,0,-
Elfrid Payton,ORL,22,72,48,12.3%,35,89,39.3,51.7,5.3%,13,38,34.2,7.1%,22,51,43.1
Elijah Millsap,UTA,28,20,8,28.2%,2,11,18.2,22.7,5.1%,1,2,50,23.1%,1,9,11.1
Elliot Williams,CHA,27,5,1,20.0%,1,2,50,75,10.0%,0,1,0,10.0%,1,1,100
Emmanuel Mudiay,DEN,20,68,54,15.7%,54,142,38,47.5,6.6%,27,60,45,9.1%,27,82,32.9
Enes Kanter,OKC,24,82,48,11.0%,44,78,56.4,61.5,8.8%,36,63,57.1,2.1%,8,15,53.3
Eric Bledsoe,PHX,26,31,31,22.0%,51,108,47.2,59.3,9.4%,25,46,54.3,12.6%,26,62,41.9
Eric Gordon,NOP,27,45,42,29.2%,76,161,47.2,67.1,3.8%,12,21,57.1,25.4%,64,140,45.7
Erick Green,DEN,25,9,2,15.4%,1,2,50,75,0.0%,0,0,-,15.4%,1,2,50
Ersan Ilyasova,ORL,29,74,65,21.8%,75,144,52.1,71.2,5.5%,20,36,55.6,16.4%,55,108,50.9
Evan Fournier,ORL,23,78,74,29.6%,123,271,45.4,63.7,5.7%,24,52,46.2,23.9%,99,219,45.2
Evan Turner,BOS,27,80,41,9.1%,26,68,38.2,45.6,3.4%,16,25,64,5.8%,10,43,23.3
Festus Ezeli,GSW,26,46,14,6.2%,9,14,64.3,64.3,6.2%,9,14,64.3,0.0%,0,0,-
Frank Kaminsky,CHA,23,81,68,33.5%,65,176,36.9,53.1,3.6%,8,19,42.1,29.9%,57,157,36.3
Garrett Temple,WAS,30,80,61,32.9%,63,166,38,54.5,5.1%,8,26,30.8,27.7%,55,140,39.3
Gary Harris,DEN,21,76,65,19.1%,61,146,41.8,53.4,5.0%,27,38,71.1,14.1%,34,108,31.5
Gary Neal,WAS,31,40,20,13.0%,18,42,42.9,56,3.7%,7,12,58.3,9.3%,11,30,36.7
George Hill,IND,30,74,63,24.0%,87,177,49.2,66.1,5.8%,27,43,62.8,18.2%,60,134,44.8
Gerald Green,MIA,30,69,55,19.5%,41,114,36,48.7,3.8%,12,22,54.5,15.7%,29,92,31.5
Gerald Henderson,POR,28,72,57,19.0%,36,100,36,46,6.5%,16,34,47.1,12.5%,20,66,30.3
Giannis Antetokounmpo,MIL,21,80,70,14.9%,58,150,38.7,44.3,7.9%,41,80,51.3,6.9%,17,70,24.3
Glenn Robinson,IND,22,45,13,12.6%,9,19,47.4,65.8,4.0%,2,6,33.3,8.6%,7,13,53.8
Goran Dragic,MIA,30,72,61,13.7%,56,120,46.7,54.2,6.5%,38,57,66.7,7.2%,18,63,28.6
