PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Aaron Gray,SAC,29,125,176,71,43,98,43.9,62,185,33.5,10,20,50,3,10,30,46,122,37.7
Al Horford,ATL,28,328,546,60.1,96,196,49,196,502,39,23,61,37.7,21,57,36.8,95,295,32.2
Al Jefferson,CHA,29,787,1300,60.5,253,687,36.8,498,1256,39.6,53,148,35.8,44,108,40.7,328,900,36.4
Alex Len,PHX,21,121,196,61.7,47,118,39.8,78,165,47.3,4,17,23.5,6,18,33.3,41,112,36.6
Alexis Ajinca,NOP,26,354,567,62.4,60,194,30.9,139,364,38.2,33,71,46.5,24,48,50,101,308,32.8
Amar'e Stoudemire,NYK,31,470,774,60.7,110,286,38.5,224,555,40.4,29,87,33.3,40,95,42.1,204,534,38.2
Anderson Varejao,CLE,31,524,834,62.8,167,414,40.3,321,829,38.7,53,129,41.1,44,127,34.6,236,668,35.3
Andray Blatche,BKN,27,592,944,62.7,155,363,42.7,261,667,39.1,32,108,29.6,33,89,37.1,177,516,34.3
Andre Drummond,DET,20,975,1557,62.6,224,582,38.5,492,1146,42.9,73,168,43.5,64,176,36.4,337,891,37.8
Andrea Bargnani,NYK,28,439,685,64.1,96,275,34.9,208,470,44.3,37,78,47.4,40,99,40.4,130,390,33.3
Andrew Bogut,GSW,29,499,853,58.5,223,598,37.3,393,1012,38.8,38,73,52.1,32,79,40.5,177,513,34.5
Andrew Bynum,IND,26,192,304,63.2,51,130,39.2,113,283,39.9,11,31,35.5,8,23,34.8,60,169,35.5
Andris Biedrins,UTA,28,14,22,63.6,5,14,35.7,8,21,38.1,3,5,60,0,5,0,3,12,25
Anthony Davis,NOP,21,883,1373,64.3,205,523,39.2,354,921,38.4,65,158,41.1,66,139,47.5,255,772,33
Arinze Onuaku,CLE,26,8,12,66.7,4,4,100,5,17,29.4,1,1,100,2,3,66.7,4,8,50
Aron Baynes,SAS,27,153,240,63.8,77,153,50.3,99,238,41.6,8,34,23.5,8,18,44.4,46,144,31.9
Bernard James,DAL,29,48,70,68.6,14,43,32.6,21,62,33.9,4,10,40,6,13,46.2,15,54,27.8
Bismack Biyombo,CHA,21,323,616,52.4,86,249,34.5,206,507,40.6,20,60,33.3,21,50,42,133,353,37.7
Brook Lopez,BKN,26,153,280,54.6,48,139,34.5,119,286,41.6,8,29,27.6,14,28,50,68,167,40.7
Byron Mullens,PHI,25,182,275,66.2,37,87,42.5,70,169,41.4,9,20,45,12,30,40,45,124,36.3
Channing Frye,PHX,31,816,1333,61.2,256,659,38.8,437,1098,39.8,44,125,35.2,43,104,41.3,249,686,36.3
Chris Andersen,MIA,35,443,758,58.4,133,312,42.6,191,515,37.1,29,94,30.9,37,87,42.5,149,481,31
Chris Bosh,MIA,30,789,1333,59.2,255,602,42.4,393,1001,39.3,73,176,41.5,69,182,37.9,292,863,33.8
Chris Kaman,LAL,32,283,472,60,57,198,28.8,147,364,40.4,20,41,48.8,6,40,15,92,251,36.7
Cody Zeller,CHA,21,475,831,57.2,135,385,35.1,265,676,39.2,22,70,31.4,28,59,47.5,178,465,38.3
Cole Aldrich,NYK,25,88,171,51.5,25,64,39.1,53,123,43.1,10,29,34.5,5,20,25,63,147,42.9
Daniel Orton,PHI,23,80,118,67.8,21,58,36.2,52,113,46,4,13,30.8,7,17,41.2,30,96,31.3
DeAndre Jordan,LAC,25,1015,1645,61.7,316,834,37.9,496,1357,36.6,79,179,44.1,55,153,35.9,304,939,32.4
DeJuan Blair,DAL,25,403,631,63.9,139,326,42.6,208,524,39.7,28,80,35,42,107,39.3,138,366,37.7
DeMarcus Cousins,SAC,23,735,1136,64.7,249,635,39.2,418,1084,38.6,61,150,40.7,54,131,41.2,279,731,38.2
Derrick Favors,UTA,22,791,1288,61.4,266,620,42.9,380,953,39.9,55,118,46.6,47,97,48.5,233,634,36.8
Dewayne Dedmon,ORL,24,129,189,68.3,39,89,43.8,67,172,39,9,21,42.9,5,21,23.8,41,121,33.9
Dexter Pittman,ATL,26,2,2,100,0,0,0,0,3,0,-,-,-,-,-,-,0,2,0
Donatas Motiejunas,HOU,23,302,513,58.9,106,266,39.8,157,433,36.3,23,66,34.8,23,61,37.7,119,345,34.5
Dwight Howard,HOU,28,829,1335,62.1,253,697,36.3,455,1202,37.9,59,165,35.8,42,137,30.7,282,800,35.3
Ekpe Udoh,MIL,27,287,504,56.9,71,181,39.2,152,360,42.2,20,52,38.5,22,54,40.7,83,256,32.4
Enes Kanter,UTA,22,788,1244,63.3,236,573,41.2,379,881,43,53,113,46.9,41,101,40.6,229,619,37
Glen Davis,LAC,28,560,913,61.3,151,380,39.7,344,843,40.8,42,102,41.2,25,76,32.9,192,553,34.7
Gorgui Dieng,MIN,24,297,475,62.5,96,238,40.3,145,363,39.9,24,55,43.6,19,50,38,88,276,31.9
Greg Monroe,DET,24,1030,1614,63.8,228,612,37.3,498,1150,43.3,78,178,43.8,54,171,31.6,321,906,35.4
Greg Oden,MIA,26,73,121,60.3,20,49,40.8,30,75,40,5,16,31.3,7,18,38.9,26,64,40.6
Greg Smith,HOU,23,32,49,65.3,8,30,26.7,19,40,47.5,2,7,28.6,4,5,80,16,45,35.6
Greg Stiemsma,NOP,28,341,535,63.7,102,238,42.9,171,434,39.4,21,62,33.9,27,53,50.9,97,292,33.2
Gustavo Ayon,ATL,29,160,263,60.8,44,98,44.9,85,222,38.3,6,20,30,12,25,48,44,131,33.6
Hamady Ndiaye,SAC,27,16,26,61.5,14,24,58.3,14,41,34.1,1,1,100,4,5,80,7,23,30.4
Hasheem Thabeet,OKC,27,65,114,57,17,35,48.6,30,88,34.1,3,8,37.5,6,13,46.2,16,63,25.4
Henry Sims,PHI,24,337,537,62.8,58,147,39.5,140,388,36.1,21,51,41.2,22,43,51.2,105,306,34.3
Hilton Armstrong,GSW,29,31,50,62,10,25,40,14,36,38.9,4,9,44.4,0,4,0,9,41,22
Ian Mahinmi,IND,27,333,621,53.6,116,299,38.8,255,664,38.4,21,53,39.6,20,51,39.2,128,373,34.3
JJ Hickson,DEN,25,716,1133,63.2,201,519,38.7,344,895,38.4,47,122,38.5,32,96,33.3,211,605,34.9
JaVale McGee,DEN,26,30,43,69.8,10,23,43.5,19,44,43.2,2,2,100,1,6,16.7,11,19,57.9
Jared Sullinger,BOS,22,727,1165,62.4,204,547,37.3,353,911,38.7,41,115,35.7,31,83,37.3,212,576,36.8
Jarvis Varnado,PHI,26,123,207,59.4,27,70,38.6,57,135,42.2,13,28,46.4,9,19,47.4,33,117,28.2
Jason Collins,BKN,35,62,93,66.7,16,31,51.6,28,79,35.4,5,7,71.4,2,5,40,20,60,33.3
Jason Smith,NOP,28,325,503,64.6,83,185,44.9,140,356,39.3,19,61,31.1,20,38,52.6,97,265,36.6
Jason Thompson,SAC,27,620,971,63.9,225,575,39.1,377,961,39.2,42,113,37.2,47,119,39.5,254,671,37.9
Jeff Ayres,SAS,27,312,500,62.4,124,300,41.3,212,525,40.4,11,40,27.5,17,36,47.2,84,280,30
Jeff Withey,NOP,24,234,406,57.6,61,184,33.2,107,241,44.4,20,54,37,15,37,40.5,72,216,33.3
Jermaine O'Neal,GSW,35,259,433,59.8,109,272,40.1,180,489,36.8,20,54,37,11,25,44,97,290,33.4
Joakim Noah,CHI,29,803,1403,57.2,234,663,35.3,596,1522,39.2,52,129,40.3,38,107,35.5,305,874,34.9
Joel Anthony,BOS,31,69,103,67,27,60,45,38,93,40.9,4,7,57.1,2,7,28.6,16,53,30.2
Joel Freeland,POR,27,240,433,55.4,97,235,41.3,135,362,37.3,6,22,27.3,10,24,41.7,78,217,35.9
John Henson,MIL,23,679,1128,60.2,145,387,37.5,332,807,41.1,55,133,41.4,42,109,38.5,222,588,37.8
Jonas Valanciunas,TOR,22,758,1279,59.3,268,670,40,418,1036,40.3,57,134,42.5,44,105,41.9,217,626,34.7
Jordan Hill,LAL,26,642,1044,61.5,152,381,39.9,262,662,39.6,35,97,36.1,31,89,34.8,176,496,35.5
Josh Harrellson,DET,25,84,161,52.2,41,87,47.1,60,152,39.5,6,21,28.6,8,16,50,31,83,37.3
Justin Hamilton,MIA,24,35,42,83.3,7,15,46.7,7,19,36.8,3,6,50,5,7,71.4,8,22,36.4
Kelly Olynyk,BOS,23,518,841,61.6,144,357,40.3,261,633,41.2,23,85,27.1,19,53,35.8,140,402,34.8
Kendrick Perkins,OKC,29,419,760,55.1,117,282,41.5,209,552,37.9,22,58,37.9,28,84,33.3,152,424,35.8
Kevin Garnett,BKN,38,281,503,55.9,99,269,36.8,189,493,38.3,21,58,36.2,32,63,50.8,146,391,37.3
Kevin Love,MIN,25,1056,1586,66.6,301,742,40.6,554,1385,40,77,185,41.6,59,173,34.1,332,930,35.7
Kevin Seraphin,WAS,24,147,260,56.5,78,163,47.9,95,226,42,9,26,34.6,15,32,46.9,53,179,29.6
Kosta Koufos,MEM,25,382,671,56.9,148,385,38.4,247,601,41.1,26,77,33.8,25,63,39.7,145,433,33.5
Kris Humphries,BOS,29,466,798,58.4,144,334,43.1,262,636,41.2,30,70,42.9,24,63,38.1,137,408,33.6
Larry Sanders,MIL,25,195,331,58.9,50,133,37.6,108,277,39,13,38,34.2,16,33,48.5,62,159,39
Lavoy Allen,IND,25,368,589,62.5,87,230,37.8,183,438,41.8,27,76,35.5,25,65,38.5,153,422,36.3
Marc Gasol,MEM,29,605,975,62.1,186,464,40.1,382,962,39.7,44,110,40,33,97,34,223,615,36.3
Marcin Gortat,WAS,30,834,1368,61,294,706,41.6,508,1283,39.6,64,153,41.8,53,144,36.8,274,846,32.4
Marreese Speights,GSW,26,313,509,61.5,132,313,42.2,190,455,41.8,16,47,34,14,32,43.8,101,343,29.4
Mason Plumlee,BKN,24,447,732,61.1,126,301,41.9,185,488,37.9,26,77,33.8,26,57,45.6,172,444,38.7
Matt Bonner,SAS,34,204,370,55.1,94,223,42.2,141,358,39.4,11,32,34.4,8,21,38.1,79,184,42.9
Melvin Ely,NOP,36,8,13,61.5,2,3,66.7,2,7,28.6,1,1,100,2,5,40,9,14,64.3
Meyers Leonard,POR,22,141,218,64.7,46,108,42.6,68,173,39.3,3,10,30,6,13,46.2,36,108,33.3
Mike Muscala,ATL,22,90,131,68.7,23,52,44.2,38,82,46.3,4,9,44.4,2,9,22.2,32,88,36.4
Miles Plumlee,PHX,25,711,1193,59.6,233,596,39.1,364,903,40.3,37,102,36.3,33,83,39.8,189,547,34.6
Miroslav Raduljica,MIL,26,138,260,53.1,45,102,44.1,87,207,42,13,28,46.4,13,29,44.8,58,157,36.9
Nazr Mohammed,CHI,36,143,275,52,63,146,43.2,102,295,34.6,6,18,33.3,6,18,33.3,55,167,32.9
Nene,WAS,31,454,742,61.2,178,420,42.4,303,742,40.8,28,87,32.2,32,85,37.6,168,476,35.3
Nick Collison,OKC,33,371,656,56.6,118,316,37.3,233,606,38.4,21,71,29.6,32,90,35.6,186,494,37.7
Nikola Pekovic,MIN,28,602,900,66.9,172,394,43.7,377,915,41.2,36,107,33.6,32,93,34.4,196,536,36.6
Nikola Vucevic,ORL,23,583,926,63,165,426,38.7,409,1021,40.1,55,109,50.5,31,79,39.2,209,587,35.6
Ognjen Kuzmic,GSW,24,41,61,67.2,8,19,42.1,15,33,45.5,4,10,40,0,2,0,16,44,36.4
Omer Asik,HOU,27,280,489,57.3,110,289,38.1,196,503,39,33,72,45.8,20,65,30.8,126,346,36.4
Pau Gasol,LAL,33,847,1299,65.2,191,477,40,384,973,39.5,48,140,34.3,38,112,33.9,209,578,36.2
Pero Antic,ATL,31,295,496,59.5,81,194,41.8,164,420,39,23,51,45.1,26,60,43.3,101,316,32
Robert Sacre,LAL,25,388,632,61.4,107,270,39.6,226,552,40.9,36,79,45.6,24,62,38.7,154,393,39.2
Robin Lopez,POR,26,919,1632,56.3,306,807,37.9,589,1377,42.8,47,122,38.5,40,98,40.8,260,718,36.2
Ronny Turiaf,MIN,31,218,359,60.7,66,184,35.9,107,276,38.8,17,31,54.8,12,42,28.6,75,188,39.9
Roy Hibbert,IND,27,610,1186,51.4,254,694,36.6,547,1379,39.7,43,108,39.8,37,95,38.9,244,721,33.8
Rudy Gobert,UTA,22,141,231,61,52,138,37.7,63,197,32,4,14,28.6,8,20,40,43,134,32.1
Ryan Hollins,LAC,29,144,255,56.5,51,149,34.2,75,211,35.5,13,29,44.8,9,29,31,53,184,28.8
Samuel Dalembert,DAL,34,564,897,62.9,162,421,38.5,260,671,38.7,39,112,34.8,37,103,35.9,203,535,37.9
Serge Ibaka,OKC,24,893,1619,55.2,231,616,37.5,424,1128,37.6,67,156,42.9,62,177,35,354,995,35.6
Spencer Hawes,CLE,26,858,1403,61.2,218,589,37,525,1270,41.3,100,233,42.9,61,172,35.5,356,915,38.9
Steven Adams,OKC,20,399,662,60.3,94,267,35.2,205,528,38.8,36,80,45,25,71,35.2,166,447,37.1
Taj Gibson,CHI,29,676,1229,55,235,606,38.8,430,1212,35.5,45,105,42.9,25,78,32.1,247,718,34.4
Tiago Splitter,SAS,29,375,683,54.9,142,402,35.3,270,714,37.8,22,63,34.9,26,65,40,124,340,36.5
Timofey Mozgov,DEN,27,579,1041,55.6,205,497,41.2,375,907,41.3,46,118,39,45,102,44.1,173,539,32.1
Tyler Hansbrough,TOR,28,354,588,60.2,90,236,38.1,140,384,36.5,23,51,45.1,20,45,44.4,102,280,36.4
Tyler Zeller,CLE,24,292,484,60.3,79,214,36.9,195,499,39.1,25,62,40.3,27,75,36,143,429,33.3
Tyson Chandler,NYK,31,554,894,62,128,361,35.5,280,700,40,43,106,40.6,36,85,42.4,225,595,37.8
Viacheslav Kravtsov,PHX,26,20,33,60.6,6,13,46.2,14,28,50,4,7,57.1,1,1,100,9,18,50
Vitor Faverani,BOS,26,176,299,58.9,45,118,38.1,98,240,40.8,9,22,40.9,9,17,52.9,42,149,28.2
Zaza Pachulia,MIL,30,477,731,65.3,116,267,43.4,240,578,41.5,42,101,41.6,33,86,38.4,165,424,38.9